日付,コード,市場・商品区分,33業種区分,銘柄名称,現在値,出来高,売買代金,時価総額,逆日歩,信用倍率,貸借倍率,決算発表日,PER,PBR,配当,配当落日,中配落日,権利落日,四季報,株探,ミンカブ,株予報,ヤフー
20231229.0,1301,プライム（内国株式）,水産・農林業,極洋,3875.0,19000.0,73697.0,42347.0,0.0,14.6,0.63,2024/2/2,7.29,0.82,90.0,2024/3/28,,,https://shikiho.toyokeizai.net/stocks/1301,https://kabutan.jp/stock/?code=1301,https://minkabu.jp/stock/1301,https://kabuyoho.jp/reportAnalyst?bcode=1301,https://finance.yahoo.co.jp/quote/1301
20231229.0,1332,プライム（内国株式）,水産・農林業,ニッスイ,789.9,1508900.0,1198170.0,246788.0,0.0,5.41,0.29,2024/2/6,10.92,1.02,20.0,2024/3/28,2024/9/27,,https://shikiho.toyokeizai.net/stocks/1332,https://kabutan.jp/stock/?code=1332,https://minkabu.jp/stock/1332,https://kabuyoho.jp/reportAnalyst?bcode=1332,https://finance.yahoo.co.jp/quote/1332
20231229.0,1333,プライム（内国株式）,水産・農林業,マルハニチロ,2816.5,152100.0,429541.0,142455.0,0.0,8.51,1.8,2024/2/5,6.17,0.72,70.0,2024/3/28,2024/9/27,,https://shikiho.toyokeizai.net/stocks/1333,https://kabutan.jp/stock/?code=1333,https://minkabu.jp/stock/1333,https://kabuyoho.jp/reportAnalyst?bcode=1333,https://finance.yahoo.co.jp/quote/1333
20231229.0,1375,プライム（内国株式）,水産・農林業,雪国まいたけ,939.0,65200.0,61390.0,37476.0,0.0,153.91,0.0,2024/2/8,44.5,3.48,2.0,2024/3/28,2024/9/27,,https://shikiho.toyokeizai.net/stocks/1375,https://kabutan.jp/stock/?code=1375,https://minkabu.jp/stock/1375,https://kabuyoho.jp/reportAnalyst?bcode=1375,https://finance.yahoo.co.jp/quote/1375
20231229.0,1376,スタンダード（内国株式）,水産・農林業,カネコ種苗,1372.0,64100.0,87971.0,16152.0,0.0,0,0.0,2024/1/5,10.83,0.66,31.0,2024/5/30,2024/11/28,,https://shikiho.toyokeizai.net/stocks/1376,https://kabutan.jp/stock/?code=1376,https://minkabu.jp/stock/1376,https://kabuyoho.jp/reportAnalyst?bcode=1376,https://finance.yahoo.co.jp/quote/1376
20231229.0,1377,プライム（内国株式）,水産・農林業,サカタのタネ,4045.0,110900.0,448271.0,191776.0,0.0,3.22,0.31,2024/1/12,20.5,1.3,55.0,2024/5/30,2024/11/28,,https://shikiho.toyokeizai.net/stocks/1377,https://kabutan.jp/stock/?code=1377,https://minkabu.jp/stock/1377,https://kabuyoho.jp/reportAnalyst?bcode=1377,https://finance.yahoo.co.jp/quote/1377
20231229.0,1379,プライム（内国株式）,水産・農林業,ホクト,1759.0,65300.0,115186.0,58678.0,0.0,11.98,21.0,2024/2/9,48.45,1.11,40.0,2024/3/28,2024/9/27,,https://shikiho.toyokeizai.net/stocks/1379,https://kabutan.jp/stock/?code=1379,https://minkabu.jp/stock/1379,https://kabuyoho.jp/reportAnalyst?bcode=1379,https://finance.yahoo.co.jp/quote/1379
20231229.0,1380,スタンダード（内国株式）,水産・農林業,秋川牧園,1031.0,1200.0,1238.0,4308.0,0.0,0,0.0,2024/2/14,30.68,1.97,10.0,2024/3/28,2024/9/27,,https://shikiho.toyokeizai.net/stocks/1380,https://kabutan.jp/stock/?code=1380,https://minkabu.jp/stock/1380,https://kabuyoho.jp/reportAnalyst?bcode=1380,https://finance.yahoo.co.jp/quote/1380
20231229.0,1381,スタンダード（内国株式）,水産・農林業,アクシーズ,2915.0,2600.0,7598.0,16375.0,0.0,77,0.0,2024/1/26,16.36,0.82,95.0,2024/6/27,2024/12/27,,https://shikiho.toyokeizai.net/stocks/1381,https://kabutan.jp/stock/?code=1381,https://minkabu.jp/stock/1381,https://kabuyoho.jp/reportAnalyst?bcode=1381,https://finance.yahoo.co.jp/quote/1381
20231229.0,1382,スタンダード（内国株式）,水産・農林業,ホーブ,2179.0,8500.0,18600.0,1660.0,0.0,0,0.0,2024/2/7,13.83,2.1,50.0,2024/6/27,2024/12/27,,https://shikiho.toyokeizai.net/stocks/1382,https://kabutan.jp/stock/?code=1382,https://minkabu.jp/stock/1382,https://kabuyoho.jp/reportAnalyst?bcode=1382,https://finance.yahoo.co.jp/quote/1382
20231229.0,1383,スタンダード（内国株式）,水産・農林業,ベルグアース,3415.0,2200.0,7516.0,5499.0,0.0,0,0.0,2023/12/13,68.16,2.68,10.0,2024/10/30,2024/4/26,,https://shikiho.toyokeizai.net/stocks/1383,https://kabutan.jp/stock/?code=1383,https://minkabu.jp/stock/1383,https://kabuyoho.jp/reportAnalyst?bcode=1383,https://finance.yahoo.co.jp/quote/1383
20231229.0,1384,スタンダード（内国株式）,水産・農林業,ホクリヨウ,1060.0,33000.0,35062.0,8966.0,0.0,0,0.0,2024/2/13,5.97,0.75,40.0,2024/3/28,2024/9/27,,https://shikiho.toyokeizai.net/stocks/1384,https://kabutan.jp/stock/?code=1384,https://minkabu.jp/stock/1384,https://kabuyoho.jp/reportAnalyst?bcode=1384,https://finance.yahoo.co.jp/quote/1384
20231229.0,1400,グロース（内国株式）,建設業,ルーデン・ホールディングス,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,,,,https://shikiho.toyokeizai.net/stocks/1400,https://kabutan.jp/stock/?code=1400,https://minkabu.jp/stock/1400,https://kabuyoho.jp/reportAnalyst?bcode=1400,https://finance.yahoo.co.jp/quote/1400
20231229.0,1401,グロース（内国株式）,建設業,エムビーエス,627.0,20600.0,12748.0,4847.0,0.0,0,0.0,2024/1/15,10.6,1.46,8.0,2024/5/30,2024/11/28,2017/3/29,https://shikiho.toyokeizai.net/stocks/1401,https://kabutan.jp/stock/?code=1401,https://minkabu.jp/stock/1401,https://kabuyoho.jp/reportAnalyst?bcode=1401,https://finance.yahoo.co.jp/quote/1401
